Day   0 -      no restrictions: current guests:     3/   26, occupancy: 0.115385, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    16725
Day  47 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     116, currently infected:    2458, total fully vaccined:       0, recovered:    4091, ballance:   163000
Day  48 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      57, currently infected:    2134, total fully vaccined:       0, recovered:    4472, ballance:   161525
Day  49 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     140, currently infected:    2159, total fully vaccined:       0, recovered:    4587, ballance:   158650
Day  50 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     154, currently infected:    2078, total fully vaccined:       0, recovered:    4822, ballance:   159975
Day  51 -      no restrictions: current guests:    10/   26, occupancy: 0.384615, newly infected:     133, currently infected:    2016, total fully vaccined:       0, recovered:    5017, ballance:   157800
Day  52 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:      99, currently infected:    1820, total fully vaccined:       0, recovered:    5312, ballance:   157025
Day  53 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      55, currently infected:    1618, total fully vaccined:       0, recovered:    5569, ballance:   154850
Day  54 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:      86, currently infected:    1541, total fully vaccined:       0, recovered:    5732, ballance:   151975
Day  55 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      79, currently infected:    1521, total fully vaccined:       0, recovered:    5831, ballance:   154700
Day  56 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:      52, currently infected:    1413, total fully vaccined:       0, recovered:    5991, ballance:   155325
Day  57 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:      41, currently infected:    1386, total fully vaccined:       0, recovered:    6059, ballance:   158750
Day  58 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      59, currently infected:    1393, total fully vaccined:       0, recovered:    6111, ballance:   169875
Day  59 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      75, currently infected:    1363, total fully vaccined:       0, recovered:    6216, ballance:   169100
Day  60 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     103, currently infected:    1249, total fully vaccined:       0, recovered:    6433, ballance:   166225
Day  61 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      55, currently infected:    1188, total fully vaccined:       0, recovered:    6549, ballance:   166850
Day  62 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      18, currently infected:    1149, total fully vaccined:       0, recovered:    6606, ballance:   176575
Day  63 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      26, currently infected:    1035, total fully vaccined:       0, recovered:    6746, ballance:   173700
Day  64 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      38, currently infected:     919, total fully vaccined:       0, recovered:    6900, ballance:   172225
Day  65 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      77, currently infected:     863, total fully vaccined:       0, recovered:    7033, ballance:   174250
Day  66 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      78, currently infected:     842, total fully vaccined:       0, recovered:    7132, ballance:   171375
Day  67 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      57, currently infected:     844, total fully vaccined:       0, recovered:    7187, ballance:   168500
Day  68 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:      46, currently infected:     804, total fully vaccined:       0, recovered:    7273, ballance:   165625
Day  69 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      18, currently infected:     743, total fully vaccined:       0, recovered:    7352, ballance:   172550
Day  70 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      28, currently infected:     719, total fully vaccined:       0, recovered:    7404, ballance:   169675
Day  71 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      53, currently infected:     731, total fully vaccined:       0, recovered:    7445, ballance:   175200
Day  72 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      45, currently infected:     717, total fully vaccined:       0, recovered:    7504, ballance:   173025
Day  73 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      48, currently infected:     690, total fully vaccined:       0, recovered:    7579, ballance:   170850
Day  74 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      82, currently infected:     669, total fully vaccined:       0, recovered:    7682, ballance:   167975
Day  75 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      55, currently infected:     669, total fully vaccined:       0, recovered:    7737, ballance:   167200
Day  76 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      49, currently infected:     700, total fully vaccined:       0, recovered:    7755, ballance:   173425
Day  77 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      20, currently infected:     694, total fully vaccined:       0, recovered:    7781, ballance:   170550
Day  78 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     111, currently infected:     767, total fully vaccined:       0, recovered:    7819, ballance:   168375
Day  79 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      61, currently infected:     751, total fully vaccined:       0, recovered:    7896, ballance:   165500
Day  80 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      74, currently infected:     747, total fully vaccined:       0, recovered:    7974, ballance:   168225
Day  81 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      33, currently infected:     723, total fully vaccined:       0, recovered:    8031, ballance:   165350
Day  82 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      59, currently infected:     736, total fully vaccined:       0, recovered:    8077, ballance:   163175
Day  83 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      77, currently infected:     795, total fully vaccined:       0, recovered:    8095, ballance:   160300
Day  84 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      65, currently infected:     832, total fully vaccined:       0, recovered:    8123, ballance:   167925
Day  85 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      47, currently infected:     826, total fully vaccined:       0, recovered:    8176, ballance:   173450
Day  86 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      48, currently infected:     829, total fully vaccined:       0, recovered:    8221, ballance:   170575
Day  87 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      36, currently infected:     817, total fully vaccined:       0, recovered:    8269, ballance:   181700
Day  88 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      54, currently infected:     789, total fully vaccined:       0, recovered:    8351, ballance:   190025
Day  89 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      56, currently infected:     790, total fully vaccined:       0, recovered:    8406, ballance:   189250
Day  90 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      34, currently infected:     775, total fully vaccined:       0, recovered:    8455, ballance:   191275
Day  91 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      38, currently infected:     793, total fully vaccined:       0, recovered:    8475, ballance:   196800
Day  92 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      34, currently infected:     716, total fully vaccined:       0, recovered:    8586, ballance:   199525
Day  93 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      62, currently infected:     717, total fully vaccined:       0, recovered:    8647, ballance:   197350
Day  94 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      74, currently infected:     717, total fully vaccined:       0, recovered:    8721, ballance:   196575
Day  95 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      56, currently infected:     740, total fully vaccined:       0, recovered:    8754, ballance:   203500
Day  96 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      35, currently infected:     716, total fully vaccined:       0, recovered:    8813, ballance:   200625
Day  97 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      38, currently infected:     677, total fully vaccined:       0, recovered:    8890, ballance:   197750
Day  98 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      61, currently infected:     673, total fully vaccined:       0, recovered:    8955, ballance:   196275
Day  99 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      69, currently infected:     695, total fully vaccined:       0, recovered:    9002, ballance:   194100
Day 100 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      54, currently infected:     701, total fully vaccined:       0, recovered:    9050, ballance:   220625
Day 101 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      73, currently infected:     738, total fully vaccined:       0, recovered:    9086, ballance:   234550
Day 102 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      31, currently infected:     715, total fully vaccined:       0, recovered:    9140, ballance:   231675
Day 103 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      83, currently infected:     742, total fully vaccined:       0, recovered:    9196, ballance:   228800
Day 104 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      53, currently infected:     761, total fully vaccined:       0, recovered:    9230, ballance:   232925
Day 105 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      33, currently infected:     756, total fully vaccined:       0, recovered:    9268, ballance:   230050
Day 106 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      40, currently infected:     762, total fully vaccined:       0, recovered:    9302, ballance:   227175
Day 107 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      47, currently infected:     747, total fully vaccined:       0, recovered:    9364, ballance:   224300
Day 108 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      51, currently infected:     724, total fully vaccined:       0, recovered:    9438, ballance:   221425
Day 109 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     118, currently infected:     786, total fully vaccined:       0, recovered:    9494, ballance:   218550
Day 110 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     126, currently infected:     877, total fully vaccined:       0, recovered:    9529, ballance:   224075
Day 111 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      42, currently infected:     881, total fully vaccined:       0, recovered:    9567, ballance:   221200
Day 112 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      50, currently infected:     870, total fully vaccined:       0, recovered:    9628, ballance:   218325
Day 113 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      25, currently infected:     826, total fully vaccined:       0, recovered:    9697, ballance:   235050
Day 114 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:     127, currently infected:     899, total fully vaccined:       0, recovered:    9751, ballance:   232175
Day 115 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     127, currently infected:     953, total fully vaccined:       0, recovered:    9824, ballance:   233500
Day 116 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:      93, currently infected:    1015, total fully vaccined:       0, recovered:    9855, ballance:   230625
Day 117 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:     168, currently infected:    1100, total fully vaccined:       0, recovered:    9938, ballance:   227750
Day 118 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:     260, currently infected:    1307, total fully vaccined:       0, recovered:    9991, ballance:   229775
Day 119 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     305, currently infected:    1579, total fully vaccined:       0, recovered:   10024, ballance:   229700
Day 120 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     202, currently infected:    1741, total fully vaccined:       0, recovered:   10064, ballance:   233125
Day 121 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     149, currently infected:    1843, total fully vaccined:       0, recovered:   10111, ballance:   234450
Day 122 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      92, currently infected:    1884, total fully vaccined:       0, recovered:   10162, ballance:   232975
Day 123 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     132, currently infected:    1898, total fully vaccined:       0, recovered:   10280, ballance:   230100
Day 124 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     141, currently infected:    1913, total fully vaccined:       0, recovered:   10406, ballance:   229325
Day 125 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     121, currently infected:    1992, total fully vaccined:       0, recovered:   10448, ballance:   226450
Day 126 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      75, currently infected:    2017, total fully vaccined:       0, recovered:   10498, ballance:   243175
Day 127 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      51, currently infected:    2043, total fully vaccined:       0, recovered:   10523, ballance:   240300
Day 128 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     119, currently infected:    2035, total fully vaccined:       0, recovered:   10650, ballance:   238825
Day 129 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     129, currently infected:    2037, total fully vaccined:       0, recovered:   10777, ballance:   235950
Day 130 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     105, currently infected:    2049, total fully vaccined:       0, recovered:   10870, ballance:   237275
Day 131 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      82, currently infected:    1963, total fully vaccined:       0, recovered:   11038, ballance:   234400
Day 132 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     114, currently infected:    1817, total fully vaccined:       0, recovered:   11298, ballance:   237825
Day 133 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      59, currently infected:    1571, total fully vaccined:       0, recovered:   11603, ballance:   234950
Day 134 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      64, currently infected:    1433, total fully vaccined:       0, recovered:   11805, ballance:   232075
Day 135 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     103, currently infected:    1387, total fully vaccined:       0, recovered:   11954, ballance:   229900
Day 136 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     134, currently infected:    1429, total fully vaccined:       0, recovered:   12046, ballance:   227025
Day 137 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     137, currently infected:    1434, total fully vaccined:       0, recovered:   12178, ballance:   224150
Day 138 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     130, currently infected:    1423, total fully vaccined:       0, recovered:   12319, ballance:   221975
Day 139 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     113, currently infected:    1415, total fully vaccined:       0, recovered:   12440, ballance:   221900
Day 140 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      90, currently infected:    1430, total fully vaccined:       0, recovered:   12515, ballance:   227425
Day 141 -      no restrictions: current guests:    11/   26, occupancy: 0.423077, newly infected:     153, currently infected:    1532, total fully vaccined:       0, recovered:   12566, ballance:   225250
Day 142 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     226, currently infected:    1639, total fully vaccined:       0, recovered:   12685, ballance:   247575
Day 143 -      no restrictions: current guests:    13/   26, occupancy: 0.500000, newly infected:     246, currently infected:    1756, total fully vaccined:       0, recovered:   12814, ballance:   245400
Day 144 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:     230, currently infected:    1881, total fully vaccined:       0, recovered:   12919, ballance:   242525
Day 145 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     281, currently infected:    2080, total fully vaccined:       0, recovered:   13001, ballance:   246650
Day 146 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     131, currently infected:    2097, total fully vaccined:       0, recovered:   13115, ballance:   244475
Day 147 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     112, currently infected:    2150, total fully vaccined:       0, recovered:   13174, ballance:   243700
Day 148 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     192, currently infected:    2278, total fully vaccined:       0, recovered:   13238, ballance:   240825
Day 149 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     283, currently infected:    2458, total fully vaccined:       0, recovered:   13341, ballance:   243550
Day 150 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     294, currently infected:    2618, total fully vaccined:       0, recovered:   13475, ballance:   240675
Day 151 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:     278, currently infected:    2759, total fully vaccined:       0, recovered:   13612, ballance:   238500
Day 152 -      no restrictions: current guests:    11/   26, occupancy: 0.423077, newly infected:     203, currently infected:    2832, total fully vaccined:       0, recovered:   13742, ballance:   235625
Day 153 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     125, currently infected:    2844, total fully vaccined:       0, recovered:   13855, ballance:   234150
Day 154 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     101, currently infected:    2855, total fully vaccined:       0, recovered:   13945, ballance:   235475
Day 155 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     208, currently infected:    2910, total fully vaccined:       0, recovered:   14098, ballance:   232600
Day 156 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     278, currently infected:    2962, total fully vaccined:       0, recovered:   14324, ballance:   229725
Day 157 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     243, currently infected:    2959, total fully vaccined:       0, recovered:   14570, ballance:   226850
Day 158 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     202, currently infected:    2931, total fully vaccined:       0, recovered:   14800, ballance:   230975
Day 159 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     329, currently infected:    2979, total fully vaccined:       0, recovered:   15081, ballance:   234400
Day 160 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     175, currently infected:    3023, total fully vaccined:       0, recovered:   15212, ballance:   233625
Day 161 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     118, currently infected:    3029, total fully vaccined:       0, recovered:   15324, ballance:   241250
Day 162 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     141, currently infected:    2978, total fully vaccined:       0, recovered:   15516, ballance:   238375
Day 163 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     289, currently infected:    2984, total fully vaccined:       0, recovered:   15799, ballance:   236200
Day 164 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     292, currently infected:    2982, total fully vaccined:       0, recovered:   16093, ballance:   256425
Day 165 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     326, currently infected:    3030, total fully vaccined:       0, recovered:   16371, ballance:   255650
Day 166 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     292, currently infected:    3119, total fully vaccined:       0, recovered:   16574, ballance:   255575
Day 167 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     198, currently infected:    3192, total fully vaccined:       0, recovered:   16699, ballance:   259000
Day 168 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     121, currently infected:    3212, total fully vaccined:       0, recovered:   16800, ballance:   264525
Day 169 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     190, currently infected:    3194, total fully vaccined:       0, recovered:   17008, ballance:   263750
Day 170 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     281, currently infected:    3197, total fully vaccined:       0, recovered:   17286, ballance:   262275
Day 171 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     315, currently infected:    3269, total fully vaccined:       0, recovered:   17529, ballance:   259400
Day 172 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     247, currently infected:    3314, total fully vaccined:       0, recovered:   17731, ballance:   257225
Day 173 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     506, currently infected:    3491, total fully vaccined:       0, recovered:   18060, ballance:   264150
Day 174 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     239, currently infected:    3555, total fully vaccined:       0, recovered:   18235, ballance:   265475
Day 175 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     133, currently infected:    3570, total fully vaccined:       0, recovered:   18353, ballance:   279400
Day 176 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     258, currently infected:    3687, total fully vaccined:       0, recovered:   18494, ballance:   282825
Day 177 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     367, currently infected:    3765, total fully vaccined:       0, recovered:   18783, ballance:   279950
Day 178 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     403, currently infected:    3876, total fully vaccined:       0, recovered:   19075, ballance:   284775
