Day   0 -      no restrictions: current guests:     8/   26, occupancy: 0.307692, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    -2875
Day  28 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     186, currently infected:    2564, total fully vaccined:       0, recovered:     253, ballance:    91625
Day  29 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     184, currently infected:    2703, total fully vaccined:       0, recovered:     298, ballance:    90150
Day  30 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     307, currently infected:    2912, total fully vaccined:       0, recovered:     396, ballance:    98475
Day  31 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     200, currently infected:    3044, total fully vaccined:       0, recovered:     464, ballance:    95600
Day  32 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     350, currently infected:    3164, total fully vaccined:       0, recovered:     694, ballance:   102525
Day  33 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     233, currently infected:    3258, total fully vaccined:       0, recovered:     833, ballance:   120650
Day  34 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     381, currently infected:    3477, total fully vaccined:       0, recovered:     995, ballance:   117775
Day  35 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     115, currently infected:    3467, total fully vaccined:       0, recovered:    1120, ballance:   121200
Day  36 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     235, currently infected:    3586, total fully vaccined:       0, recovered:    1236, ballance:   156125
Day  37 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     195, currently infected:    3623, total fully vaccined:       0, recovered:    1394, ballance:   153250
Day  38 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     295, currently infected:    3658, total fully vaccined:       0, recovered:    1654, ballance:   154575
Day  39 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     257, currently infected:    3644, total fully vaccined:       0, recovered:    1925, ballance:   152400
Day  40 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     163, currently infected:    3453, total fully vaccined:       0, recovered:    2279, ballance:   149525
Day  41 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      99, currently infected:    3200, total fully vaccined:       0, recovered:    2631, ballance:   148050
Day  42 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     160, currently infected:    3174, total fully vaccined:       0, recovered:    2817, ballance:   154975
Day  43 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      68, currently infected:    3058, total fully vaccined:       0, recovered:    3001, ballance:   156300
Day  44 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      52, currently infected:    2803, total fully vaccined:       0, recovered:    3308, ballance:   173025
Day  45 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     105, currently infected:    2708, total fully vaccined:       0, recovered:    3508, ballance:   181350
Day  46 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     217, currently infected:    2575, total fully vaccined:       0, recovered:    3858, ballance:   181275
Day  47 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     116, currently infected:    2458, total fully vaccined:       0, recovered:    4091, ballance:   178400
Day  48 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      57, currently infected:    2134, total fully vaccined:       0, recovered:    4472, ballance:   175525
Day  49 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     140, currently infected:    2159, total fully vaccined:       0, recovered:    4587, ballance:   172650
Day  50 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     154, currently infected:    2078, total fully vaccined:       0, recovered:    4822, ballance:   171175
Day  51 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     133, currently infected:    2016, total fully vaccined:       0, recovered:    5017, ballance:   176700
Day  52 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      99, currently infected:    1820, total fully vaccined:       0, recovered:    5312, ballance:   173825
Day  53 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:      55, currently infected:    1618, total fully vaccined:       0, recovered:    5569, ballance:   189850
Day  54 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:      86, currently infected:    1541, total fully vaccined:       0, recovered:    5732, ballance:   193275
Day  55 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:      79, currently infected:    1521, total fully vaccined:       0, recovered:    5831, ballance:   200900
Day  56 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      52, currently infected:    1413, total fully vaccined:       0, recovered:    5991, ballance:   203625
Day  57 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      41, currently infected:    1386, total fully vaccined:       0, recovered:    6059, ballance:   203550
Day  58 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      59, currently infected:    1393, total fully vaccined:       0, recovered:    6111, ballance:   202775
Day  59 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      75, currently infected:    1363, total fully vaccined:       0, recovered:    6216, ballance:   239100
Day  60 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     103, currently infected:    1249, total fully vaccined:       0, recovered:    6433, ballance:   238325
Day  61 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      55, currently infected:    1188, total fully vaccined:       0, recovered:    6549, ballance:   235450
Day  62 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      18, currently infected:    1149, total fully vaccined:       0, recovered:    6606, ballance:   242375
Day  63 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      26, currently infected:    1035, total fully vaccined:       0, recovered:    6746, ballance:   242300
Day  64 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      38, currently infected:     919, total fully vaccined:       0, recovered:    6900, ballance:   239425
Day  65 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      77, currently infected:     863, total fully vaccined:       0, recovered:    7033, ballance:   236550
Day  66 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      78, currently infected:     842, total fully vaccined:       0, recovered:    7132, ballance:   235075
Day  67 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      57, currently infected:     844, total fully vaccined:       0, recovered:    7187, ballance:   233600
Day  68 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      46, currently infected:     804, total fully vaccined:       0, recovered:    7273, ballance:   230725
Day  69 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      18, currently infected:     743, total fully vaccined:       0, recovered:    7352, ballance:   227850
Day  70 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      28, currently infected:     719, total fully vaccined:       0, recovered:    7404, ballance:   234775
Day  71 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      53, currently infected:     731, total fully vaccined:       0, recovered:    7445, ballance:   231900
Day  72 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      45, currently infected:     717, total fully vaccined:       0, recovered:    7504, ballance:   229025
Day  73 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      48, currently infected:     690, total fully vaccined:       0, recovered:    7579, ballance:   227550
Day  74 -      no restrictions: current guests:    13/   26, occupancy: 0.500000, newly infected:      82, currently infected:     669, total fully vaccined:       0, recovered:    7682, ballance:   226775
Day  75 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:      55, currently infected:     669, total fully vaccined:       0, recovered:    7737, ballance:   225300
Day  76 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      49, currently infected:     700, total fully vaccined:       0, recovered:    7755, ballance:   232925
Day  77 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      20, currently infected:     694, total fully vaccined:       0, recovered:    7781, ballance:   230050
Day  78 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     111, currently infected:     767, total fully vaccined:       0, recovered:    7819, ballance:   227875
Day  79 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      61, currently infected:     751, total fully vaccined:       0, recovered:    7896, ballance:   246000
Day  80 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      74, currently infected:     747, total fully vaccined:       0, recovered:    7974, ballance:   243125
Day  81 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      33, currently infected:     723, total fully vaccined:       0, recovered:    8031, ballance:   248650
Day  82 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:      59, currently infected:     736, total fully vaccined:       0, recovered:    8077, ballance:   245775
Day  83 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:      77, currently infected:     795, total fully vaccined:       0, recovered:    8095, ballance:   243600
Day  84 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      65, currently infected:     832, total fully vaccined:       0, recovered:    8123, ballance:   245625
Day  85 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      47, currently infected:     826, total fully vaccined:       0, recovered:    8176, ballance:   246250
Day  86 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      48, currently infected:     829, total fully vaccined:       0, recovered:    8221, ballance:   251775
Day  87 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      36, currently infected:     817, total fully vaccined:       0, recovered:    8269, ballance:   256600
Day  88 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      54, currently infected:     789, total fully vaccined:       0, recovered:    8351, ballance:   255825
Day  89 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      56, currently infected:     790, total fully vaccined:       0, recovered:    8406, ballance:   254350
Day  90 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      34, currently infected:     775, total fully vaccined:       0, recovered:    8455, ballance:   252175
Day  91 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      38, currently infected:     793, total fully vaccined:       0, recovered:    8475, ballance:   257700
Day  92 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      34, currently infected:     716, total fully vaccined:       0, recovered:    8586, ballance:   256925
Day  93 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      62, currently infected:     717, total fully vaccined:       0, recovered:    8647, ballance:   259650
Day  94 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      74, currently infected:     717, total fully vaccined:       0, recovered:    8721, ballance:   256775
Day  95 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      56, currently infected:     740, total fully vaccined:       0, recovered:    8754, ballance:   254600
Day  96 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      35, currently infected:     716, total fully vaccined:       0, recovered:    8813, ballance:   286725
Day  97 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      38, currently infected:     677, total fully vaccined:       0, recovered:    8890, ballance:   283850
Day  98 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      61, currently infected:     673, total fully vaccined:       0, recovered:    8955, ballance:   285175
Day  99 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      69, currently infected:     695, total fully vaccined:       0, recovered:    9002, ballance:   282300
Day 100 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      54, currently infected:     701, total fully vaccined:       0, recovered:    9050, ballance:   279425
Day 101 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:      73, currently infected:     738, total fully vaccined:       0, recovered:    9086, ballance:   276550
Day 102 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      31, currently infected:     715, total fully vaccined:       0, recovered:    9140, ballance:   273675
Day 103 -      no restrictions: current guests:    13/   26, occupancy: 0.500000, newly infected:      83, currently infected:     742, total fully vaccined:       0, recovered:    9196, ballance:   272200
Day 104 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      53, currently infected:     761, total fully vaccined:       0, recovered:    9230, ballance:   284725
Day 105 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      33, currently infected:     756, total fully vaccined:       0, recovered:    9268, ballance:   298650
Day 106 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      40, currently infected:     762, total fully vaccined:       0, recovered:    9302, ballance:   296475
Day 107 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      47, currently infected:     747, total fully vaccined:       0, recovered:    9364, ballance:   293600
Day 108 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      51, currently infected:     724, total fully vaccined:       0, recovered:    9438, ballance:   290725
Day 109 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     118, currently infected:     786, total fully vaccined:       0, recovered:    9494, ballance:   287850
Day 110 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     126, currently infected:     877, total fully vaccined:       0, recovered:    9529, ballance:   287775
Day 111 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:      42, currently infected:     881, total fully vaccined:       0, recovered:    9567, ballance:   284900
Day 112 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      50, currently infected:     870, total fully vaccined:       0, recovered:    9628, ballance:   284825
Day 113 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      25, currently infected:     826, total fully vaccined:       0, recovered:    9697, ballance:   281950
Day 114 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     127, currently infected:     899, total fully vaccined:       0, recovered:    9751, ballance:   281175
Day 115 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     127, currently infected:     953, total fully vaccined:       0, recovered:    9824, ballance:   281800
Day 116 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      93, currently infected:    1015, total fully vaccined:       0, recovered:    9855, ballance:   279625
Day 117 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     168, currently infected:    1100, total fully vaccined:       0, recovered:    9938, ballance:   291450
Day 118 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     260, currently infected:    1307, total fully vaccined:       0, recovered:    9991, ballance:   288575
Day 119 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     305, currently infected:    1579, total fully vaccined:       0, recovered:   10024, ballance:   291300
Day 120 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     202, currently infected:    1741, total fully vaccined:       0, recovered:   10064, ballance:   291925
Day 121 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     149, currently infected:    1843, total fully vaccined:       0, recovered:   10111, ballance:   293950
Day 122 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      92, currently infected:    1884, total fully vaccined:       0, recovered:   10162, ballance:   295275
Day 123 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     132, currently infected:    1898, total fully vaccined:       0, recovered:   10280, ballance:   317600
Day 124 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     141, currently infected:    1913, total fully vaccined:       0, recovered:   10406, ballance:   314725
Day 125 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     121, currently infected:    1992, total fully vaccined:       0, recovered:   10448, ballance:   311850
Day 126 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      75, currently infected:    2017, total fully vaccined:       0, recovered:   10498, ballance:   329975
Day 127 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      51, currently infected:    2043, total fully vaccined:       0, recovered:   10523, ballance:   335500
Day 128 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     119, currently infected:    2035, total fully vaccined:       0, recovered:   10650, ballance:   332625
Day 129 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     129, currently infected:    2037, total fully vaccined:       0, recovered:   10777, ballance:   329750
Day 130 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     105, currently infected:    2049, total fully vaccined:       0, recovered:   10870, ballance:   327575
Day 131 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      82, currently infected:    1963, total fully vaccined:       0, recovered:   11038, ballance:   324700
Day 132 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     114, currently infected:    1817, total fully vaccined:       0, recovered:   11298, ballance:   324625
Day 133 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      59, currently infected:    1571, total fully vaccined:       0, recovered:   11603, ballance:   323150
Day 134 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      64, currently infected:    1433, total fully vaccined:       0, recovered:   11805, ballance:   341275
Day 135 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     103, currently infected:    1387, total fully vaccined:       0, recovered:   11954, ballance:   351000
Day 136 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     134, currently infected:    1429, total fully vaccined:       0, recovered:   12046, ballance:   348125
Day 137 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     137, currently infected:    1434, total fully vaccined:       0, recovered:   12178, ballance:   351550
Day 138 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     130, currently infected:    1423, total fully vaccined:       0, recovered:   12319, ballance:   352875
Day 139 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     113, currently infected:    1415, total fully vaccined:       0, recovered:   12440, ballance:   350000
Day 140 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      90, currently infected:    1430, total fully vaccined:       0, recovered:   12515, ballance:   351325
Day 141 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     153, currently infected:    1532, total fully vaccined:       0, recovered:   12566, ballance:   348450
Day 142 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     226, currently infected:    1639, total fully vaccined:       0, recovered:   12685, ballance:   346275
Day 143 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     246, currently infected:    1756, total fully vaccined:       0, recovered:   12814, ballance:   382600
Day 144 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     230, currently infected:    1881, total fully vaccined:       0, recovered:   12919, ballance:   379725
Day 145 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     281, currently infected:    2080, total fully vaccined:       0, recovered:   13001, ballance:   396450
Day 146 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     131, currently infected:    2097, total fully vaccined:       0, recovered:   13115, ballance:   394975
Day 147 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     112, currently infected:    2150, total fully vaccined:       0, recovered:   13174, ballance:   396300
Day 148 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     192, currently infected:    2278, total fully vaccined:       0, recovered:   13238, ballance:   397625
Day 149 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     283, currently infected:    2458, total fully vaccined:       0, recovered:   13341, ballance:   394750
Day 150 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     294, currently infected:    2618, total fully vaccined:       0, recovered:   13475, ballance:   421275
Day 151 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     278, currently infected:    2759, total fully vaccined:       0, recovered:   13612, ballance:   419100
Day 152 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     203, currently infected:    2832, total fully vaccined:       0, recovered:   13742, ballance:   417625
Day 153 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     125, currently infected:    2844, total fully vaccined:       0, recovered:   13855, ballance:   424550
Day 154 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     101, currently infected:    2855, total fully vaccined:       0, recovered:   13945, ballance:   421675
Day 155 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     208, currently infected:    2910, total fully vaccined:       0, recovered:   14098, ballance:   425100
Day 156 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     278, currently infected:    2962, total fully vaccined:       0, recovered:   14324, ballance:   422225
Day 157 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     243, currently infected:    2959, total fully vaccined:       0, recovered:   14570, ballance:   419350
Day 158 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     202, currently infected:    2931, total fully vaccined:       0, recovered:   14800, ballance:   417875
Day 159 -      no restrictions: current guests:     7/   26, occupancy: 0.269231, newly infected:     329, currently infected:    2979, total fully vaccined:       0, recovered:   15081, ballance:   415700
Day 160 -      no restrictions: current guests:     9/   26, occupancy: 0.346154, newly infected:     175, currently infected:    3023, total fully vaccined:       0, recovered:   15212, ballance:   412825
Day 161 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:     118, currently infected:    3029, total fully vaccined:       0, recovered:   15324, ballance:   412050
Day 162 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     141, currently infected:    2978, total fully vaccined:       0, recovered:   15516, ballance:   423875
Day 163 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     289, currently infected:    2984, total fully vaccined:       0, recovered:   15799, ballance:   425900
Day 164 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     292, currently infected:    2982, total fully vaccined:       0, recovered:   16093, ballance:   425125
Day 165 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     326, currently infected:    3030, total fully vaccined:       0, recovered:   16371, ballance:   424350
Day 166 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:     292, currently infected:    3119, total fully vaccined:       0, recovered:   16574, ballance:   421475
Day 167 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     198, currently infected:    3192, total fully vaccined:       0, recovered:   16699, ballance:   424200
Day 168 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     121, currently infected:    3212, total fully vaccined:       0, recovered:   16800, ballance:   431125
Day 169 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     190, currently infected:    3194, total fully vaccined:       0, recovered:   17008, ballance:   428250
Day 170 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     281, currently infected:    3197, total fully vaccined:       0, recovered:   17286, ballance:   425375
Day 171 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     315, currently infected:    3269, total fully vaccined:       0, recovered:   17529, ballance:   424600
Day 172 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     247, currently infected:    3314, total fully vaccined:       0, recovered:   17731, ballance:   463725
Day 173 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     506, currently infected:    3491, total fully vaccined:       0, recovered:   18060, ballance:   460850
Day 174 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     239, currently infected:    3555, total fully vaccined:       0, recovered:   18235, ballance:   459375
Day 175 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     133, currently infected:    3570, total fully vaccined:       0, recovered:   18353, ballance:   467000
Day 176 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     258, currently infected:    3687, total fully vaccined:       0, recovered:   18494, ballance:   480925
Day 177 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     367, currently infected:    3765, total fully vaccined:       0, recovered:   18783, ballance:   490650
Day 178 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     403, currently infected:    3876, total fully vaccined:       0, recovered:   19075, ballance:   491975
