Day   0 -      no restrictions: current guests:     4/   26, occupancy: 0.153846, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:    -2875
Day  16 -               closed: current guests:    16/    0, occupancy: 0.000000, newly infected:      98, currently infected:     391, total fully vaccined:       0, recovered:       5, ballance:      825
Day  17 -               closed: current guests:    16/    0, occupancy: 0.000000, newly infected:      68, currently infected:     456, total fully vaccined:       0, recovered:       8, ballance:    -2050
Day  18 -               closed: current guests:     4/    0, occupancy: 0.000000, newly infected:     230, currently infected:     682, total fully vaccined:       0, recovered:      12, ballance:    -4925
Day  19 -               closed: current guests:     4/    0, occupancy: 0.000000, newly infected:     139, currently infected:     815, total fully vaccined:       0, recovered:      18, ballance:    -7800
Day  20 -               closed: current guests:     4/    0, occupancy: 0.000000, newly infected:     162, currently infected:     976, total fully vaccined:       0, recovered:      19, ballance:   -10675
Day  21 -               closed: current guests:     3/    0, occupancy: 0.000000, newly infected:     125, currently infected:    1089, total fully vaccined:       0, recovered:      31, ballance:   -13550
Day  22 -               closed: current guests:     3/    0, occupancy: 0.000000, newly infected:     116, currently infected:    1205, total fully vaccined:       0, recovered:      31, ballance:   -16425
Day  23 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     158, currently infected:    1353, total fully vaccined:       0, recovered:      41, ballance:   -19300
Day  24 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     260, currently infected:    1563, total fully vaccined:       0, recovered:      91, ballance:   -22175
Day  25 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     271, currently infected:    1831, total fully vaccined:       0, recovered:      94, ballance:   -25050
Day  26 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     354, currently infected:    2138, total fully vaccined:       0, recovered:     141, ballance:   -27925
Day  27 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     352, currently infected:    2442, total fully vaccined:       0, recovered:     189, ballance:   -30800
Day  28 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     186, currently infected:    2564, total fully vaccined:       0, recovered:     253, ballance:   -33675
Day  29 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     184, currently infected:    2703, total fully vaccined:       0, recovered:     298, ballance:   -36550
Day  30 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     307, currently infected:    2912, total fully vaccined:       0, recovered:     396, ballance:   -39425
Day  31 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     200, currently infected:    3044, total fully vaccined:       0, recovered:     464, ballance:   -42300
Day  32 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     350, currently infected:    3164, total fully vaccined:       0, recovered:     694, ballance:   -45175
Day  33 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     233, currently infected:    3258, total fully vaccined:       0, recovered:     833, ballance:   -48050
Day  34 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     381, currently infected:    3477, total fully vaccined:       0, recovered:     995, ballance:   -50925
Day  35 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     115, currently infected:    3467, total fully vaccined:       0, recovered:    1120, ballance:   -53800
Day  36 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     235, currently infected:    3586, total fully vaccined:       0, recovered:    1236, ballance:   -56675
Day  37 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     195, currently infected:    3623, total fully vaccined:       0, recovered:    1394, ballance:   -59550
Day  38 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     295, currently infected:    3658, total fully vaccined:       0, recovered:    1654, ballance:   -62425
Day  39 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     257, currently infected:    3644, total fully vaccined:       0, recovered:    1925, ballance:   -65300
Day  40 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     163, currently infected:    3453, total fully vaccined:       0, recovered:    2279, ballance:   -68175
Day  41 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      99, currently infected:    3200, total fully vaccined:       0, recovered:    2631, ballance:   -71050
Day  42 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     160, currently infected:    3174, total fully vaccined:       0, recovered:    2817, ballance:   -73925
Day  43 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      68, currently infected:    3058, total fully vaccined:       0, recovered:    3001, ballance:   -76800
Day  44 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      52, currently infected:    2803, total fully vaccined:       0, recovered:    3308, ballance:   -79675
Day  45 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     105, currently infected:    2708, total fully vaccined:       0, recovered:    3508, ballance:   -82550
Day  46 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     217, currently infected:    2575, total fully vaccined:       0, recovered:    3858, ballance:   -85425
Day  47 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     116, currently infected:    2458, total fully vaccined:       0, recovered:    4091, ballance:   -88300
Day  48 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      57, currently infected:    2134, total fully vaccined:       0, recovered:    4472, ballance:   -91175
Day  49 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     140, currently infected:    2159, total fully vaccined:       0, recovered:    4587, ballance:   -94050
Day  50 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     154, currently infected:    2078, total fully vaccined:       0, recovered:    4822, ballance:   -96925
Day  51 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     133, currently infected:    2016, total fully vaccined:       0, recovered:    5017, ballance:   -99800
Day  52 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      99, currently infected:    1820, total fully vaccined:       0, recovered:    5312, ballance:  -102675
Day  53 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      55, currently infected:    1618, total fully vaccined:       0, recovered:    5569, ballance:  -105550
Day  54 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      86, currently infected:    1541, total fully vaccined:       0, recovered:    5732, ballance:  -108425
Day  55 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      79, currently infected:    1521, total fully vaccined:       0, recovered:    5831, ballance:  -111300
Day  56 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      52, currently infected:    1413, total fully vaccined:       0, recovered:    5991, ballance:  -114175
Day  57 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      41, currently infected:    1386, total fully vaccined:       0, recovered:    6059, ballance:  -117050
Day  58 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      59, currently infected:    1393, total fully vaccined:       0, recovered:    6111, ballance:  -119925
Day  59 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      75, currently infected:    1363, total fully vaccined:       0, recovered:    6216, ballance:  -122800
Day  60 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     103, currently infected:    1249, total fully vaccined:       0, recovered:    6433, ballance:  -125675
Day  61 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      55, currently infected:    1188, total fully vaccined:       0, recovered:    6549, ballance:  -128550
Day  62 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      18, currently infected:    1149, total fully vaccined:       0, recovered:    6606, ballance:  -131425
Day  63 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      26, currently infected:    1035, total fully vaccined:       0, recovered:    6746, ballance:  -134300
Day  64 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      38, currently infected:     919, total fully vaccined:       0, recovered:    6900, ballance:  -137175
Day  65 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      77, currently infected:     863, total fully vaccined:       0, recovered:    7033, ballance:  -140050
Day  66 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      78, currently infected:     842, total fully vaccined:       0, recovered:    7132, ballance:  -142925
Day  67 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      57, currently infected:     844, total fully vaccined:       0, recovered:    7187, ballance:  -145800
Day  68 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      46, currently infected:     804, total fully vaccined:       0, recovered:    7273, ballance:  -148675
Day  69 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      18, currently infected:     743, total fully vaccined:       0, recovered:    7352, ballance:  -151550
Day  70 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      28, currently infected:     719, total fully vaccined:       0, recovered:    7404, ballance:  -154425
Day  71 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      53, currently infected:     731, total fully vaccined:       0, recovered:    7445, ballance:  -157300
Day  72 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      45, currently infected:     717, total fully vaccined:       0, recovered:    7504, ballance:  -160175
Day  73 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      48, currently infected:     690, total fully vaccined:       0, recovered:    7579, ballance:  -163050
Day  74 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      82, currently infected:     669, total fully vaccined:       0, recovered:    7682, ballance:  -165925
Day  75 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      55, currently infected:     669, total fully vaccined:       0, recovered:    7737, ballance:  -168800
Day  76 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      49, currently infected:     700, total fully vaccined:       0, recovered:    7755, ballance:  -171675
Day  77 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      20, currently infected:     694, total fully vaccined:       0, recovered:    7781, ballance:  -174550
Day  78 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:     111, currently infected:     767, total fully vaccined:       0, recovered:    7819, ballance:  -177425
Day  79 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      61, currently infected:     751, total fully vaccined:       0, recovered:    7896, ballance:  -180300
Day  80 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      74, currently infected:     747, total fully vaccined:       0, recovered:    7974, ballance:  -183175
Day  81 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      33, currently infected:     723, total fully vaccined:       0, recovered:    8031, ballance:  -186050
Day  82 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      59, currently infected:     736, total fully vaccined:       0, recovered:    8077, ballance:  -188925
Day  83 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      77, currently infected:     795, total fully vaccined:       0, recovered:    8095, ballance:  -191800
Day  84 -               closed: current guests:     0/    0, occupancy: 0.000000, newly infected:      65, currently infected:     832, total fully vaccined:       0, recovered:    8123, ballance:  -194675
Day  85 -      no restrictions: current guests:    10/   26, occupancy: 0.384615, newly infected:      47, currently infected:     826, total fully vaccined:       0, recovered:    8176, ballance:  -190550
Day  86 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      48, currently infected:     829, total fully vaccined:       0, recovered:    8221, ballance:  -193425
Day  87 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      36, currently infected:     817, total fully vaccined:       0, recovered:    8269, ballance:  -190700
Day  88 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      54, currently infected:     789, total fully vaccined:       0, recovered:    8351, ballance:  -193575
Day  89 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:      56, currently infected:     790, total fully vaccined:       0, recovered:    8406, ballance:  -196450
Day  90 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:      34, currently infected:     775, total fully vaccined:       0, recovered:    8455, ballance:  -174825
Day  91 -      no restrictions: current guests:    16/   26, occupancy: 0.615385, newly infected:      38, currently infected:     793, total fully vaccined:       0, recovered:    8475, ballance:  -150400
Day  92 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      34, currently infected:     716, total fully vaccined:       0, recovered:    8586, ballance:  -153275
Day  93 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      62, currently infected:     717, total fully vaccined:       0, recovered:    8647, ballance:  -149150
Day  94 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:      74, currently infected:     717, total fully vaccined:       0, recovered:    8721, ballance:  -144325
Day  95 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      56, currently infected:     740, total fully vaccined:       0, recovered:    8754, ballance:  -143000
Day  96 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      35, currently infected:     716, total fully vaccined:       0, recovered:    8813, ballance:  -144475
Day  97 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      38, currently infected:     677, total fully vaccined:       0, recovered:    8890, ballance:  -147350
Day  98 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      61, currently infected:     673, total fully vaccined:       0, recovered:    8955, ballance:  -148125
Day  99 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      69, currently infected:     695, total fully vaccined:       0, recovered:    9002, ballance:  -151000
Day 100 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:      54, currently infected:     701, total fully vaccined:       0, recovered:    9050, ballance:  -148975
Day 101 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      73, currently infected:     738, total fully vaccined:       0, recovered:    9086, ballance:  -143450
Day 102 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:      31, currently infected:     715, total fully vaccined:       0, recovered:    9140, ballance:  -146325
Day 103 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      83, currently infected:     742, total fully vaccined:       0, recovered:    9196, ballance:  -149200
Day 104 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      53, currently infected:     761, total fully vaccined:       0, recovered:    9230, ballance:  -142275
Day 105 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:      33, currently infected:     756, total fully vaccined:       0, recovered:    9268, ballance:  -145150
Day 106 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      40, currently infected:     762, total fully vaccined:       0, recovered:    9302, ballance:  -138925
Day 107 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      47, currently infected:     747, total fully vaccined:       0, recovered:    9364, ballance:  -138300
Day 108 -      no restrictions: current guests:    14/   26, occupancy: 0.538462, newly infected:      51, currently infected:     724, total fully vaccined:       0, recovered:    9438, ballance:  -132775
Day 109 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:     118, currently infected:     786, total fully vaccined:       0, recovered:    9494, ballance:  -134250
Day 110 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     126, currently infected:     877, total fully vaccined:       0, recovered:    9529, ballance:  -119625
Day 111 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:      42, currently infected:     881, total fully vaccined:       0, recovered:    9567, ballance:  -122500
Day 112 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      50, currently infected:     870, total fully vaccined:       0, recovered:    9628, ballance:  -119775
Day 113 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      25, currently infected:     826, total fully vaccined:       0, recovered:    9697, ballance:  -122650
Day 114 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     127, currently infected:     899, total fully vaccined:       0, recovered:    9751, ballance:  -119925
Day 115 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     127, currently infected:     953, total fully vaccined:       0, recovered:    9824, ballance:   -78700
Day 116 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:      93, currently infected:    1015, total fully vaccined:       0, recovered:    9855, ballance:   -81575
Day 117 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     168, currently infected:    1100, total fully vaccined:       0, recovered:    9938, ballance:   -84450
Day 118 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     260, currently infected:    1307, total fully vaccined:       0, recovered:    9991, ballance:   -87325
Day 119 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     305, currently infected:    1579, total fully vaccined:       0, recovered:   10024, ballance:   -86000
Day 120 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     202, currently infected:    1741, total fully vaccined:       0, recovered:   10064, ballance:   -88875
Day 121 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     149, currently infected:    1843, total fully vaccined:       0, recovered:   10111, ballance:   -91750
Day 122 -      no restrictions: current guests:    11/   26, occupancy: 0.423077, newly infected:      92, currently infected:    1884, total fully vaccined:       0, recovered:   10162, ballance:   -92525
Day 123 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     132, currently infected:    1898, total fully vaccined:       0, recovered:   10280, ballance:   -87700
Day 124 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     141, currently infected:    1913, total fully vaccined:       0, recovered:   10406, ballance:   -86375
Day 125 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     121, currently infected:    1992, total fully vaccined:       0, recovered:   10448, ballance:   -87850
Day 126 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      75, currently infected:    2017, total fully vaccined:       0, recovered:   10498, ballance:   -90725
Day 127 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:      51, currently infected:    2043, total fully vaccined:       0, recovered:   10523, ballance:   -86600
Day 128 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     119, currently infected:    2035, total fully vaccined:       0, recovered:   10650, ballance:   -69875
Day 129 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     129, currently infected:    2037, total fully vaccined:       0, recovered:   10777, ballance:   -72750
Day 130 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     105, currently infected:    2049, total fully vaccined:       0, recovered:   10870, ballance:   -75625
Day 131 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:      82, currently infected:    1963, total fully vaccined:       0, recovered:   11038, ballance:   -78500
Day 132 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:     114, currently infected:    1817, total fully vaccined:       0, recovered:   11298, ballance:   -81375
Day 133 -      no restrictions: current guests:    15/   26, occupancy: 0.576923, newly infected:      59, currently infected:    1571, total fully vaccined:       0, recovered:   11603, ballance:   -81450
Day 134 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:      64, currently infected:    1433, total fully vaccined:       0, recovered:   11805, ballance:   -73825
Day 135 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     103, currently infected:    1387, total fully vaccined:       0, recovered:   11954, ballance:   -61300
Day 136 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     134, currently infected:    1429, total fully vaccined:       0, recovered:   12046, ballance:   -38975
Day 137 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     137, currently infected:    1434, total fully vaccined:       0, recovered:   12178, ballance:   -39050
Day 138 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     130, currently infected:    1423, total fully vaccined:       0, recovered:   12319, ballance:   -41925
Day 139 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     113, currently infected:    1415, total fully vaccined:       0, recovered:   12440, ballance:   -44100
Day 140 -      no restrictions: current guests:    19/   26, occupancy: 0.730769, newly infected:      90, currently infected:    1430, total fully vaccined:       0, recovered:   12515, ballance:   -46975
Day 141 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     153, currently infected:    1532, total fully vaccined:       0, recovered:   12566, ballance:   -49850
Day 142 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     226, currently infected:    1639, total fully vaccined:       0, recovered:   12685, ballance:    -3725
Day 143 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     246, currently infected:    1756, total fully vaccined:       0, recovered:   12814, ballance:    -6600
Day 144 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     230, currently infected:    1881, total fully vaccined:       0, recovered:   12919, ballance:     -375
Day 145 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     281, currently infected:    2080, total fully vaccined:       0, recovered:   13001, ballance:    -3250
Day 146 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     131, currently infected:    2097, total fully vaccined:       0, recovered:   13115, ballance:    -4025
Day 147 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     112, currently infected:    2150, total fully vaccined:       0, recovered:   13174, ballance:    -6900
Day 148 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     192, currently infected:    2278, total fully vaccined:       0, recovered:   13238, ballance:    -2775
Day 149 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     283, currently infected:    2458, total fully vaccined:       0, recovered:   13341, ballance:    -2850
Day 150 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     294, currently infected:    2618, total fully vaccined:       0, recovered:   13475, ballance:    -5725
Day 151 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     278, currently infected:    2759, total fully vaccined:       0, recovered:   13612, ballance:    -5100
Day 152 -      no restrictions: current guests:    20/   26, occupancy: 0.769231, newly infected:     203, currently infected:    2832, total fully vaccined:       0, recovered:   13742, ballance:    -2375
Day 153 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     125, currently infected:    2844, total fully vaccined:       0, recovered:   13855, ballance:    -5250
Day 154 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     101, currently infected:    2855, total fully vaccined:       0, recovered:   13945, ballance:     4475
Day 155 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     208, currently infected:    2910, total fully vaccined:       0, recovered:   14098, ballance:     1600
Day 156 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     278, currently infected:    2962, total fully vaccined:       0, recovered:   14324, ballance:    -1275
Day 157 -      no restrictions: current guests:    22/   26, occupancy: 0.846154, newly infected:     243, currently infected:    2959, total fully vaccined:       0, recovered:   14570, ballance:    -3450
Day 158 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     202, currently infected:    2931, total fully vaccined:       0, recovered:   14800, ballance:    -5625
Day 159 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     329, currently infected:    2979, total fully vaccined:       0, recovered:   15081, ballance:     6900
Day 160 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     175, currently infected:    3023, total fully vaccined:       0, recovered:   15212, ballance:     4025
Day 161 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     118, currently infected:    3029, total fully vaccined:       0, recovered:   15324, ballance:     6750
Day 162 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     141, currently infected:    2978, total fully vaccined:       0, recovered:   15516, ballance:     6675
Day 163 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     289, currently infected:    2984, total fully vaccined:       0, recovered:   15799, ballance:    10800
Day 164 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     292, currently infected:    2982, total fully vaccined:       0, recovered:   16093, ballance:     7925
Day 165 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     326, currently infected:    3030, total fully vaccined:       0, recovered:   16371, ballance:     7850
Day 166 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     292, currently infected:    3119, total fully vaccined:       0, recovered:   16574, ballance:     4975
Day 167 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     198, currently infected:    3192, total fully vaccined:       0, recovered:   16699, ballance:     2100
Day 168 -      no restrictions: current guests:    18/   26, occupancy: 0.692308, newly infected:     121, currently infected:    3212, total fully vaccined:       0, recovered:   16800, ballance:     -775
Day 169 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     190, currently infected:    3194, total fully vaccined:       0, recovered:   17008, ballance:     1950
Day 170 -      no restrictions: current guests:    12/   26, occupancy: 0.461538, newly infected:     281, currently infected:    3197, total fully vaccined:       0, recovered:   17286, ballance:     4675
Day 171 -      no restrictions: current guests:    17/   26, occupancy: 0.653846, newly infected:     315, currently infected:    3269, total fully vaccined:       0, recovered:   17529, ballance:     3900
Day 172 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     247, currently infected:    3314, total fully vaccined:       0, recovered:   17731, ballance:     4525
Day 173 -      no restrictions: current guests:    23/   26, occupancy: 0.884615, newly infected:     506, currently infected:    3491, total fully vaccined:       0, recovered:   18060, ballance:    40850
Day 174 -      no restrictions: current guests:    24/   26, occupancy: 0.923077, newly infected:     239, currently infected:    3555, total fully vaccined:       0, recovered:   18235, ballance:    41475
Day 175 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     133, currently infected:    3570, total fully vaccined:       0, recovered:   18353, ballance:    38600
Day 176 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     258, currently infected:    3687, total fully vaccined:       0, recovered:   18494, ballance:    35725
Day 177 -      no restrictions: current guests:    21/   26, occupancy: 0.807692, newly infected:     367, currently infected:    3765, total fully vaccined:       0, recovered:   18783, ballance:    32850
Day 178 -      no restrictions: current guests:    25/   26, occupancy: 0.961538, newly infected:     403, currently infected:    3876, total fully vaccined:       0, recovered:   19075, ballance:    44675
Day 179 -      no restrictions: current guests:    26/   26, occupancy: 1.000000, newly infected:     218, currently infected:    3768, total fully vaccined:       0, recovered:   19401, ballance:    45300
