Day   0 -      no restrictions: current guests:     2/   26, occupancy: 0.076923, newly infected:       3, currently infected:       3, total fully vaccined:       0, recovered:       0, ballance:      625
Day  58 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      59, currently infected:    1393, total fully vaccined:       0, recovered:    6111, ballance:    43875
Day  59 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      75, currently infected:    1363, total fully vaccined:       0, recovered:    6216, ballance:    45200
Day  60 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     103, currently infected:    1249, total fully vaccined:       0, recovered:    6433, ballance:    47225
Day  61 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      55, currently infected:    1188, total fully vaccined:       0, recovered:    6549, ballance:    44350
Day  62 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      18, currently infected:    1149, total fully vaccined:       0, recovered:    6606, ballance:    41475
Day  63 -        half capacity: current guests:     9/   13, occupancy: 0.692308, newly infected:      26, currently infected:    1035, total fully vaccined:       0, recovered:    6746, ballance:    52600
Day  64 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      38, currently infected:     919, total fully vaccined:       0, recovered:    6900, ballance:    49725
Day  65 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:      77, currently infected:     863, total fully vaccined:       0, recovered:    7033, ballance:    51050
Day  66 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      78, currently infected:     842, total fully vaccined:       0, recovered:    7132, ballance:    48175
Day  67 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      57, currently infected:     844, total fully vaccined:       0, recovered:    7187, ballance:    45300
Day  68 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      46, currently infected:     804, total fully vaccined:       0, recovered:    7273, ballance:    45225
Day  69 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      18, currently infected:     743, total fully vaccined:       0, recovered:    7352, ballance:    45150
Day  70 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      28, currently infected:     719, total fully vaccined:       0, recovered:    7404, ballance:    43675
Day  71 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      53, currently infected:     731, total fully vaccined:       0, recovered:    7445, ballance:    43600
Day  72 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      45, currently infected:     717, total fully vaccined:       0, recovered:    7504, ballance:    40725
Day  73 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      48, currently infected:     690, total fully vaccined:       0, recovered:    7579, ballance:    37850
Day  74 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      82, currently infected:     669, total fully vaccined:       0, recovered:    7682, ballance:    37075
Day  75 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      55, currently infected:     669, total fully vaccined:       0, recovered:    7737, ballance:    34900
Day  76 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      49, currently infected:     700, total fully vaccined:       0, recovered:    7755, ballance:    32725
Day  77 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      20, currently infected:     694, total fully vaccined:       0, recovered:    7781, ballance:    30550
Day  78 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     111, currently infected:     767, total fully vaccined:       0, recovered:    7819, ballance:    27675
Day  79 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      61, currently infected:     751, total fully vaccined:       0, recovered:    7896, ballance:    24800
Day  80 -        half capacity: current guests:     9/   13, occupancy: 0.692308, newly infected:      74, currently infected:     747, total fully vaccined:       0, recovered:    7974, ballance:    21925
Day  81 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      33, currently infected:     723, total fully vaccined:       0, recovered:    8031, ballance:    21850
Day  82 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      59, currently infected:     736, total fully vaccined:       0, recovered:    8077, ballance:    23175
Day  83 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      77, currently infected:     795, total fully vaccined:       0, recovered:    8095, ballance:    23100
Day  84 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      65, currently infected:     832, total fully vaccined:       0, recovered:    8123, ballance:    20225
Day  85 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:      47, currently infected:     826, total fully vaccined:       0, recovered:    8176, ballance:    17350
Day  86 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      48, currently infected:     829, total fully vaccined:       0, recovered:    8221, ballance:    24275
Day  87 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      36, currently infected:     817, total fully vaccined:       0, recovered:    8269, ballance:    22100
Day  88 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      54, currently infected:     789, total fully vaccined:       0, recovered:    8351, ballance:    22025
Day  89 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      56, currently infected:     790, total fully vaccined:       0, recovered:    8406, ballance:    31750
Day  90 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      34, currently infected:     775, total fully vaccined:       0, recovered:    8455, ballance:    28875
Day  91 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      38, currently infected:     793, total fully vaccined:       0, recovered:    8475, ballance:    26000
Day  92 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      34, currently infected:     716, total fully vaccined:       0, recovered:    8586, ballance:    30125
Day  93 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      62, currently infected:     717, total fully vaccined:       0, recovered:    8647, ballance:    27250
Day  94 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      74, currently infected:     717, total fully vaccined:       0, recovered:    8721, ballance:    24375
Day  95 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      56, currently infected:     740, total fully vaccined:       0, recovered:    8754, ballance:    21500
Day  96 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      35, currently infected:     716, total fully vaccined:       0, recovered:    8813, ballance:    28425
Day  97 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      38, currently infected:     677, total fully vaccined:       0, recovered:    8890, ballance:    40950
Day  98 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      61, currently infected:     673, total fully vaccined:       0, recovered:    8955, ballance:    62575
Day  99 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      69, currently infected:     695, total fully vaccined:       0, recovered:    9002, ballance:    60400
Day 100 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      54, currently infected:     701, total fully vaccined:       0, recovered:    9050, ballance:    61025
Day 101 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      73, currently infected:     738, total fully vaccined:       0, recovered:    9086, ballance:    72150
Day 102 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      31, currently infected:     715, total fully vaccined:       0, recovered:    9140, ballance:    69275
Day 103 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      83, currently infected:     742, total fully vaccined:       0, recovered:    9196, ballance:    66400
Day 104 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      53, currently infected:     761, total fully vaccined:       0, recovered:    9230, ballance:    63525
Day 105 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      33, currently infected:     756, total fully vaccined:       0, recovered:    9268, ballance:    99150
Day 106 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      40, currently infected:     762, total fully vaccined:       0, recovered:    9302, ballance:    99075
Day 107 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      47, currently infected:     747, total fully vaccined:       0, recovered:    9364, ballance:    96200
Day 108 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      51, currently infected:     724, total fully vaccined:       0, recovered:    9438, ballance:    93325
Day 109 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     118, currently infected:     786, total fully vaccined:       0, recovered:    9494, ballance:    94650
Day 110 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     126, currently infected:     877, total fully vaccined:       0, recovered:    9529, ballance:    91775
Day 111 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:      42, currently infected:     881, total fully vaccined:       0, recovered:    9567, ballance:    88900
Day 112 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:      50, currently infected:     870, total fully vaccined:       0, recovered:    9628, ballance:    86025
Day 113 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      25, currently infected:     826, total fully vaccined:       0, recovered:    9697, ballance:    84550
Day 114 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     127, currently infected:     899, total fully vaccined:       0, recovered:    9751, ballance:    81675
Day 115 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     127, currently infected:     953, total fully vaccined:       0, recovered:    9824, ballance:    79500
Day 116 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      93, currently infected:    1015, total fully vaccined:       0, recovered:    9855, ballance:    76625
Day 117 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     168, currently infected:    1100, total fully vaccined:       0, recovered:    9938, ballance:    73750
Day 118 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     260, currently infected:    1307, total fully vaccined:       0, recovered:    9991, ballance:    70875
Day 119 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     305, currently infected:    1579, total fully vaccined:       0, recovered:   10024, ballance:    76400
Day 120 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     202, currently infected:    1741, total fully vaccined:       0, recovered:   10064, ballance:    73525
Day 121 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     149, currently infected:    1843, total fully vaccined:       0, recovered:   10111, ballance:    70650
Day 122 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      92, currently infected:    1884, total fully vaccined:       0, recovered:   10162, ballance:    67775
Day 123 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     132, currently infected:    1898, total fully vaccined:       0, recovered:   10280, ballance:    67700
Day 124 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     141, currently infected:    1913, total fully vaccined:       0, recovered:   10406, ballance:    66225
Day 125 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     121, currently infected:    1992, total fully vaccined:       0, recovered:   10448, ballance:    63350
Day 126 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      75, currently infected:    2017, total fully vaccined:       0, recovered:   10498, ballance:    60475
Day 127 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:      51, currently infected:    2043, total fully vaccined:       0, recovered:   10523, ballance:    63200
Day 128 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     119, currently infected:    2035, total fully vaccined:       0, recovered:   10650, ballance:    60325
Day 129 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     129, currently infected:    2037, total fully vaccined:       0, recovered:   10777, ballance:    57450
Day 130 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     105, currently infected:    2049, total fully vaccined:       0, recovered:   10870, ballance:    55275
Day 131 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      82, currently infected:    1963, total fully vaccined:       0, recovered:   11038, ballance:    59400
Day 132 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     114, currently infected:    1817, total fully vaccined:       0, recovered:   11298, ballance:    56525
Day 133 -        half capacity: current guests:     8/   13, occupancy: 0.615385, newly infected:      59, currently infected:    1571, total fully vaccined:       0, recovered:   11603, ballance:    66250
Day 134 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:      64, currently infected:    1433, total fully vaccined:       0, recovered:   11805, ballance:    65475
Day 135 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     103, currently infected:    1387, total fully vaccined:       0, recovered:   11954, ballance:    62600
Day 136 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     134, currently infected:    1429, total fully vaccined:       0, recovered:   12046, ballance:    59725
Day 137 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     137, currently infected:    1434, total fully vaccined:       0, recovered:   12178, ballance:    64550
Day 138 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     130, currently infected:    1423, total fully vaccined:       0, recovered:   12319, ballance:    63075
Day 139 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     113, currently infected:    1415, total fully vaccined:       0, recovered:   12440, ballance:    70000
Day 140 -        half capacity: current guests:     8/   13, occupancy: 0.615385, newly infected:      90, currently infected:    1430, total fully vaccined:       0, recovered:   12515, ballance:    67125
Day 141 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     153, currently infected:    1532, total fully vaccined:       0, recovered:   12566, ballance:    68450
Day 142 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     226, currently infected:    1639, total fully vaccined:       0, recovered:   12685, ballance:    66975
Day 143 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     246, currently infected:    1756, total fully vaccined:       0, recovered:   12814, ballance:    66200
Day 144 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     230, currently infected:    1881, total fully vaccined:       0, recovered:   12919, ballance:    65425
Day 145 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     281, currently infected:    2080, total fully vaccined:       0, recovered:   13001, ballance:    65350
Day 146 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     131, currently infected:    2097, total fully vaccined:       0, recovered:   13115, ballance:    80675
Day 147 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     112, currently infected:    2150, total fully vaccined:       0, recovered:   13174, ballance:    78500
Day 148 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     192, currently infected:    2278, total fully vaccined:       0, recovered:   13238, ballance:    75625
Day 149 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     283, currently infected:    2458, total fully vaccined:       0, recovered:   13341, ballance:    74850
Day 150 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     294, currently infected:    2618, total fully vaccined:       0, recovered:   13475, ballance:    72675
Day 151 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     278, currently infected:    2759, total fully vaccined:       0, recovered:   13612, ballance:    69800
Day 152 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     203, currently infected:    2832, total fully vaccined:       0, recovered:   13742, ballance:    76725
Day 153 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     125, currently infected:    2844, total fully vaccined:       0, recovered:   13855, ballance:    80850
Day 154 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     101, currently infected:    2855, total fully vaccined:       0, recovered:   13945, ballance:    77975
Day 155 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     208, currently infected:    2910, total fully vaccined:       0, recovered:   14098, ballance:    75100
Day 156 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     278, currently infected:    2962, total fully vaccined:       0, recovered:   14324, ballance:    72225
Day 157 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     243, currently infected:    2959, total fully vaccined:       0, recovered:   14570, ballance:    69350
Day 158 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     202, currently infected:    2931, total fully vaccined:       0, recovered:   14800, ballance:    77675
Day 159 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     329, currently infected:    2979, total fully vaccined:       0, recovered:   15081, ballance:    74800
Day 160 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     175, currently infected:    3023, total fully vaccined:       0, recovered:   15212, ballance:    71925
Day 161 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     118, currently infected:    3029, total fully vaccined:       0, recovered:   15324, ballance:    72550
Day 162 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     141, currently infected:    2978, total fully vaccined:       0, recovered:   15516, ballance:    69675
Day 163 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     289, currently infected:    2984, total fully vaccined:       0, recovered:   15799, ballance:    66800
Day 164 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     292, currently infected:    2982, total fully vaccined:       0, recovered:   16093, ballance:    63925
Day 165 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     326, currently infected:    3030, total fully vaccined:       0, recovered:   16371, ballance:    61750
Day 166 -        half capacity: current guests:    11/   13, occupancy: 0.846154, newly infected:     292, currently infected:    3119, total fully vaccined:       0, recovered:   16574, ballance:    68675
Day 167 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     198, currently infected:    3192, total fully vaccined:       0, recovered:   16699, ballance:    67900
Day 168 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     121, currently infected:    3212, total fully vaccined:       0, recovered:   16800, ballance:    65025
Day 169 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     190, currently infected:    3194, total fully vaccined:       0, recovered:   17008, ballance:    62850
Day 170 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     281, currently infected:    3197, total fully vaccined:       0, recovered:   17286, ballance:    62075
Day 171 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     315, currently infected:    3269, total fully vaccined:       0, recovered:   17529, ballance:    62000
Day 172 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     247, currently infected:    3314, total fully vaccined:       0, recovered:   17731, ballance:    63325
Day 173 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     506, currently infected:    3491, total fully vaccined:       0, recovered:   18060, ballance:    83550
Day 174 -        half capacity: current guests:     7/   13, occupancy: 0.538462, newly infected:     239, currently infected:    3555, total fully vaccined:       0, recovered:   18235, ballance:    88375
Day 175 -        half capacity: current guests:     6/   13, occupancy: 0.461538, newly infected:     133, currently infected:    3570, total fully vaccined:       0, recovered:   18353, ballance:    86200
Day 176 -        half capacity: current guests:     9/   13, occupancy: 0.692308, newly infected:     258, currently infected:    3687, total fully vaccined:       0, recovered:   18494, ballance:    98725
Day 177 -        half capacity: current guests:    12/   13, occupancy: 0.923077, newly infected:     367, currently infected:    3765, total fully vaccined:       0, recovered:   18783, ballance:    95850
Day 178 -        half capacity: current guests:    10/   13, occupancy: 0.769231, newly infected:     403, currently infected:    3876, total fully vaccined:       0, recovered:   19075, ballance:    98575
Day 179 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     218, currently infected:    3768, total fully vaccined:       0, recovered:   19401, ballance:   102000
Day 180 -        half capacity: current guests:    13/   13, occupancy: 1.000000, newly infected:     608, currently infected:    4084, total fully vaccined:       0, recovered:   19693, ballance:    99125
